Museum,MuseumCat#,Subspecies,Island,UTL,MTL,PPL,LIB,BB,LPL,MH,MCH,MCIL,LTL
BMNH,10.4171,continentis,Malay Peninsula,17.35,12.53,18.92,8.27,14.7,38.03,12.27,6.79,26.45,15.89
BMNH,61.1154,continentis,Malay Peninsula,17.13,12.22,18.22,8.27,14.91,37.07,11.16,5.98,25.39,
BMNH,61.1155,continentis,Malay Peninsula,16.64,12.44,17.32,7.57,14.07,36.57,11.48,6.47,26.01,15.74
BMNH,67.1479,continentis,Malay Peninsula,17.86,12.91,18.87,8.4,15.16,,11.66,6.44,27.17,16.48
BMNH,1960.846,continentis,Malay Peninsula,17.1,12.62,17.92,8.12,14.7,37.65,11.42,6.46,26.13,15.69
MCZ,51736,continentis,Malay Peninsula,17.22,12.42,18.31,8.2,,37.31,11.82,6.28,26.33,15.72
USNM,112611,continentis,Malay Peninsula,17.31,12.6,17.92,8.1,14.25,36.97,11.67,6.59,26.12,15.77
USNM,291272,continentis,Malay Peninsula,,12.38,18.52,8.34,15.04,37.63,12.06,6.67,,
USNM,481102,continentis,Malay Peninsula,18.28,12.85,19.39,8.26,14.37,39.07,12.1,6.3,27.76,16.81
USNM,481103,continentis,Malay Peninsula,17.08,12.51,18.2,7.6,14.37,37.34,11.66,6.39,26.52,16.14
USNM,481104,continentis,Malay Peninsula,17.42,12.95,17.97,8.13,14.49,37.65,11.08,6.31,26.25,16.18
USNM,481105,continentis,Malay Peninsula,17.49,12.71,18.7,8.23,15.07,37.56,11.59,6.73,26.49,16.07
USNM,481108,continentis,Malay Peninsula,17.36,12.45,18.21,8.02,14.66,37.07,11.32,6.29,26.16,16.03
USNM,488052,continentis,Malay Peninsula,17.25,12.54,18.06,7.89,14.69,37.03,11.37,6.35,26.16,15.96
USNM,488053,continentis,Malay Peninsula,17.99,12.76,18.05,8.67,13.97,38.41,11.79,6.63,27.13,16.33
USNM,488054,continentis,Malay Peninsula,18.01,12.88,18.78,8.12,14.43,38.4,11.95,6.88,27.44,16.75
USNM,488055,continentis,Malay Peninsula,17.68,12.61,18.26,8.12,14.85,37.69,11.49,6.06,26.7,16.26
USNM,488057,continentis,Malay Peninsula,16.92,12.27,18.16,8,14.45,36.97,11.73,6.7,26.01,15.72
USNM,488059,continentis,Malay Peninsula,17.5,12.63,18.68,8.2,14.18,37.6,11.43,6.41,26.43,15.96
USNM,488060,continentis,Malay Peninsula,,11.9,18.13,7.92,14.15,36.7,11.12,6.2,,
USNM,488061,continentis,Malay Peninsula,16.9,12.25,17.54,7.82,14.53,36.23,11.14,6.26,25.47,15.71
USNM,488062,continentis,Malay Peninsula,17.24,12.38,18.26,8.38,14.78,37.26,11.74,6.62,26.38,15.87
USNM,488063,continentis,Malay Peninsula,17.52,12.42,18.42,8.02,14.35,37.44,11.69,6.54,26.75,16.33
USNM,488064,continentis,Malay Peninsula,16.93,11.92,15.18,8.18,14.25,37.03,11.55,6.18,26.11,15.82
USNM,488065,continentis,Malay Peninsula,17.39,12.24,17.99,8.09,15.13,36.71,11.6,6.32,25.89,15.77
USNM,488066,continentis,Malay Peninsula,16.9,12.34,17.24,8.05,14.57,36.41,11.34,6.53,25.5,15.63
USNM,488067,continentis,Malay Peninsula,16.78,12.14,17.7,7.98,14.49,37.07,12.18,6.57,25.91,15.38
USNM,488068,continentis,Malay Peninsula,,12.44,,,,,11.65,6.3,,
USNM,488069,continentis,Malay Peninsula,17.4,12.6,18.1,8.17,14.94,37.86,10.97,6.07,26.14,15.93
USNM,488070,continentis,Malay Peninsula,17.32,12.53,18.09,8.17,14.83,36.74,11.33,6.28,25.48,16.1
USNM,488071,continentis,Malay Peninsula,16.77,12.07,18.06,8.24,14.45,36.64,11.68,6.36,25.76,15.54
USNM,488072,continentis,Malay Peninsula,17.01,12.3,17.55,7.82,14.78,35.59,10.97,5.94,25.32,15.8
USNM,488073,continentis,Malay Peninsula,17.73,12.62,18.44,8.29,14.36,37.33,11.9,6.6,26.34,15.88
USNM,missing,continentis,Malay Peninsula,17.39,12.7,18.43,8.67,14.27,,11.7,6.25,26.32,16.07
USNM,121855,continentis,Offshore Islands,16.99,12.14,18.16,8.04,14.02,36.48,11.63,6.47,25.4,15.48
BMNH,78.2938,continentis,Offshore Islands,17.57,12.48,18.5,8.66,15.2,38.24,11.22,6.22,26.43,16.02
BMNH,78.2939,continentis,Offshore Islands,17.81,12.91,18.01,9.36,15.54,38.38,11.82,6.99,26.88,16.31
BMNH,55.662,lowii,Borneo,17.12,12.39,17.91,7.8,13.78,35.95,11.95,6.5,25.3,16.05
BMNH,76.528,lowii,Borneo,17.84,13,18.65,8.6,14.59,39.16,12.68,6.89,27.87,16.28
BMNH,1934.561,lowii,Borneo,17.28,12.55,18.17,8.21,14.64,36.84,11.87,6.33,26.32,16.29
FMNH,57450,lowii,Borneo,17.47,12.36,19.16,8.5,14.48,38.16,12.2,6.4,26.41,15.82
FMNH,76855,lowii,Borneo,16.84,12.26,17.88,8.12,14.57,36.84,11.75,6.18,25.63,15.42
MCZ,35380,lowii,Borneo,17.2,12.47,18.17,8.3,14.4,36.31,11.8,6.65,25.25,16.16
OUMNH,8974,lowii,Borneo,17.94,13.11,18.47,8.91,14.63,38.84,12.58,6.92,27.48,16.8
YPM,10179,lowii,Borneo,16.65,12.15,17.63,8.32,14.7,36.13,11.44,6.52,25.19,15.27